id,latitude,longitude,ufo_mystery_score
74804,38.7041667,-77.2280556,1.1513088653800208
38310,45.4208333,-122.6694444,10.010821400860783
34632,52.336916,-6.463338,69.25419123967117
63799,42.6522222,-78.8972222,-0.28829336349335277
55159,40.7608333,-111.8902778,4.895309163385204
72233,40.49766,-121.420655,10.577416155701979
62503,41.1544444,-96.0419444,-0.2883269604799461
19470,33.2075,-92.6661111,0.09389910658742184
34160,34.1083333,-117.2888889,8.891522180078482
53924,40.8094444,-80.4227778,-1.0142966525545578
70073,30.089751,-95.921315,1.869021061683153
8235,52.966667,-1.166667,78.27688187718766
61629,38.7291667,-89.8830556,0.06675289053038708
72720,21.495496,-158.062655,52.44602728581748
40075,33.4483333,-112.0733333,6.886464014045309
57,36.2522222,-85.9516667,0.6733252435153052
43388,21.3069444,-157.8583333,53.27781508302383
44881,42.3708333,-71.1833333,1.8018525070136895
54234,39.5297222,-119.8127778,9.252209455203973
44862,36.175,-115.1363889,7.156989394127231
15938,42.1538889,-88.1361111,0.3932761323392002
49458,38.3325,-82.9486111,0.300206281742658
56024,44.9583333,-124.0166667,12.018379614333014
50783,42.981477,-70.947834,2.253125377454876
1236,29.6513889,-82.325,1.4879901635571215
29989,44.477492,-88.016214,-0.005236132901070167
47942,38.4088889,-121.3705556,10.329889520614573
50047,40.3858333,-122.2797222,11.15915548451186
28889,38.3397222,-122.7,11.207252893518842
5048,46.216667,-63.483333,6.14327034137501
18811,40.8,-96.6666667,0.24218107259049557
29237,39.9019444,-75.3502778,1.370200947650241
69373,39.5522222,-84.2333333,-0.49741418920905894
10357,40.5866667,-122.3905556,10.733710385703949
24624,39.0519444,-82.6366667,0.28139013581758765
59654,42.8141667,-73.94,1.7544299758235387
50102,39.9611111,-82.9988889,0.29831730971057957
12630,33.4352778,-112.3575,6.309071985193418
18273,39.515,-84.3983333,-0.30835517066609575
38074,45.8708333,-112.0966667,4.50361486885155
49310,43.2755556,-82.6211111,0.002827981601266044
44111,43.0730556,-89.4011111,0.024717748409408435
