id,is_dangerous
3865,1
640,1
2115,0
521,0
8115,0
3367,0
230,0
4414,1
864,1
2214,0
2250,0
7309,0
2697,1
4992,0
1149,0
4208,0
4978,0
956,1
493,0
3322,1
4194,0
1734,1
5036,0
2406,0
5888,1
925,0
7419,0
1367,0
7051,0
7134,0
1396,0
5063,1
6720,0
5394,0
7594,0
1280,1
3119,1
6166,0
6569,0
7882,0
5555,0
2956,0
2466,0
6428,0
6343,0
2060,0
4001,0
1507,0
5926,0
2997,0
1067,0
835,1
4967,0
153,0
4379,0
4172,1
1636,1
2260,0
3006,0
4286,0
5923,1
3983,0
5510,1
5841,0
3308,0
2224,0
3077,0
2678,0
1448,0
4821,0
3775,0
7932,0
3648,0
4346,1
4190,0
3507,0
5723,1
2749,1
3854,1
2873,0
5287,0
2138,0
5646,0
7420,0
279,0
1903,0
6959,0
4494,0
6300,0
6823,0
1625,1
6354,0
6128,0
5749,0
1377,0
6118,0
5027,0
3503,0
4815,0
4563,1
3325,0
7689,0
2994,0
7851,0
1009,1
1946,0
7601,0
3448,0
1162,0
2418,0
6319,0
4949,0
7979,0
3975,1
95,1
3721,0
6548,0
2612,0
1401,1
395,0
7328,0
6056,0
473,0
3304,1
383,1
1872,0
3880,0
3331,0
5368,0
2933,0
4249,0
6311,0
5944,0
7581,0
1719,0
4352,0
5511,0
990,0
2097,0
3501,0
1250,0
6040,0
7504,0
4523,0
3867,0
5154,0
6699,0
3409,0
1986,0
806,1
3961,0
3779,0
854,0
7500,0
2857,0
7798,0
3178,0
2324,0
54,0
724,1
6760,0
3041,1
5003,0
1612,0
5624,0
1487,0
2533,0
3876,1
2346,0
4314,1
5933,0
959,0
516,0
122,1
2516,0
6597,0
3159,0
103,1
6153,0
976,0
7678,0
2667,0
652,1
7407,0
4026,1
5102,0
2602,0
771,1
8084,0
3675,1
4971,0
861,1
3396,0
4779,1
6083,0
6243,0
3862,0
5147,0
1192,0
2940,0
4205,0
3483,0
5497,0
5610,0
6701,0
4710,1
4588,0
1866,0
2447,0
1024,1
173,1
8065,0
4676,0
5716,0
989,0
7241,0
5191,0
1385,0
4200,0
4220,0
2109,0
3534,0
4883,0
612,0
7401,0
127,0
4375,0
1226,0
6288,0
2958,0
2476,0
1436,0
3395,1
6599,0
75,0
548,0
6623,0
1451,1
7531,0
7880,0
6329,0
3713,0
1153,0
637,0
2210,0
805,1
903,0
4644,0
3051,0
2078,0
4764,1
6689,0
517,1
2755,0
2939,0
6965,0
8010,0
2756,0
4492,1
7765,0
6739,0
5734,0
3165,1
5609,1
3800,0
2394,0
2228,0
901,0
4932,0
1751,0
5089,0
1225,0
7676,0
503,1
2701,0
7295,0
6712,0
5015,0
2695,0
672,0
474,0
8022,0
7679,0
632,0
5169,0
5917,0
8041,0
2995,0
4541,1
1539,0
2266,0
6207,0
2514,0
1520,1
6635,0
5736,0
6004,0
5469,0
4485,1
4392,1
1573,0
4547,1
4935,1
2596,0
6722,0
4960,0
3449,0
1762,0
487,0
1022,1
7769,0
5886,0
4121,0
6069,0
1504,1
1320,0
4743,0
7353,0
2880,0
7343,0
3681,0
4056,0
1631,0
4127,0
1069,1
7660,0
4276,0
3269,0
8091,0
7194,0
5319,0
4608,0
3725,1
5016,0
2119,0
3505,0
8099,0
3889,0
3771,0
544,0
6767,0
3278,0
4885,1
4553,0
3177,0
3579,0
7918,0
4444,0
1578,0
1760,0
6724,0
1026,0
281,1
5523,0
4095,0
1030,0
6831,0
2333,0
5333,1
1218,0
3186,0
1128,0
5344,0
1394,0
1059,0
3251,0
3485,0
5958,1
4923,0
1660,0
3857,0
4204,0
3223,0
7028,0
3977,1
3679,1
2453,0
4412,0
4907,1
6495,0
1332,1
2966,0
1314,1
1979,0
1804,0
2104,0
4404,1
753,0
4798,1
511,1
3492,1
4277,0
6387,0
3577,0
7986,0
941,0
3716,0
2059,1
1027,0
2559,0
7377,0
3832,0
2526,0
3945,0
6081,0
7833,0
2440,0
1948,0
2949,0
392,1
2002,0
6749,0
3936,1
6819,0
6052,0
3061,1
2649,0
1016,0
5129,1
4650,1
1546,0
563,0
1590,1
5853,0
1642,0
7602,0
7171,0
3811,0
4656,1
4033,0
3023,0
3437,0
8111,0
5023,0
2052,0
7382,0
4075,1
115,0
3101,0
3538,0
1288,0
3343,0
7393,0
5738,0
4684,0
5561,1
5756,1
265,0
1928,0
1007,0
4958,0
1125,0
1806,0
984,1
5724,0
3104,0
2597,0
7844,0
8066,0
2938,0
1325,0
139,1
5472,0
2838,0
8119,0
5543,1
8093,0
3399,1
1305,0
59,0
4849,0
998,1
5679,0
6985,0
5865,0
7287,0
1124,1
3546,0
3944,1
8050,0
3074,0
7712,0
6098,0
7339,0
5053,0
6305,0
2575,0
5498,0
7107,0
4290,1
7733,0
2812,0
7082,0
1449,0
1623,1
7325,0
1558,0
558,0
6755,0
6837,0
6478,0
7737,0
7189,0
4734,0
2165,0
7349,0
195,0
7592,0
4216,0
7609,0
3148,1
1062,0
3691,0
2439,0
3035,0
6558,0
7739,0
6854,0
1679,0
3072,0
6360,0
4460,0
2840,0
7023,0
1455,0
6628,0
5254,1
5535,0
3645,0
2127,0
2357,0
2872,0
5121,1
7155,0
3181,1
81,1
3154,0
1708,0
5393,1
6097,0
3196,0
6715,0
2732,0
4505,0
6057,0
5025,1
561,1
5647,1
4,0
4185,0
6917,0
5133,0
2852,0
4068,0
1413,0
2016,0
1547,1
1033,0
5269,0
2140,0
4741,0
1593,0
7102,0
7814,0
1398,0
5597,0
7741,0
4942,1
5653,0
5520,1
1713,0
3965,1
2980,0
7385,0
2354,0
3611,0
2114,0
6266,0
696,1
6492,0
2998,0
3378,0
4539,1
2155,0
747,1
1074,0
936,1
2219,0
2350,0
7906,0
1255,0
7561,0
5809,0
5635,0
2736,0
4784,0
7545,0
6030,0
5390,0
1886,0
6496,0
6011,0
1003,1
497,1
6310,0
2728,0
1716,1
7272,0
1472,0
42,0
6379,0
1664,0
8061,0
2846,0
5209,0
776,1
1122,0
2750,0
7019,0
2147,0
1086,0
4605,0
3491,0
2103,0
4140,0
1480,0
3338,0
7635,0
3301,0
372,1
2509,0
170,0
2532,0
7925,0
624,0
6867,0
5205,0
3693,0
5176,0
6241,0
6022,0
5161,1
7973,0
6731,0
1920,0
5758,0
7948,0
5916,0
6363,0
68,1
5389,0
2283,0
2674,0
5627,0
5901,0
1470,0
3719,0
7808,0
1588,0
1351,0
144,1
6335,0
4841,1
6607,0
505,1
515,1
7164,0
7525,0
7313,0
3927,1
1274,0
4848,1
4443,0
6477,0
4471,0
4947,0
2372,0
564,1
2066,0
6140,0
3094,0
7022,0
5941,1
900,0
1787,0
3168,0
1591,0
1654,0
4617,0
7077,0
1874,0
3654,0
7651,0
7701,0
7775,0
7723,0
386,0
1838,0
7002,0
1426,0
3980,1
178,0
1443,0
3305,0
5672,1
6754,0
1494,0
532,1
4361,0
4633,1
6608,0
3757,0
4319,1
5514,0
6094,0
1844,0
4270,0
6832,0
4859,0
6687,0
585,1
5078,0
2274,0
1193,0
7916,0
2992,0
4653,1
4640,1
7584,0
3888,0
4498,0
6382,0
1763,0
6551,0
7455,0
926,0
5207,1
6487,0
290,0
3280,0
2055,0
4230,0
2813,0
3389,0
2829,0
6535,0
4834,0
5125,0
3664,0
1769,1
5299,0
7930,0
2208,0
7073,0
1606,1
36,0
7053,0
7777,0
6497,0
1788,0
2967,0
6824,0
876,1
2865,0
2537,0
6700,0
3320,0
2473,0
6114,0
4154,0
3907,0
7283,0
3835,0
7473,0
3984,0
2403,0
7030,0
3279,0
6762,0
3541,0
1318,0
6809,0
2634,0
4330,0
737,0
4302,1
1620,0
2725,0
1565,0
4150,0
657,1
4106,0
177,1
1148,0
6244,0
7802,0
7517,0
7390,0
3758,0
3512,0
7982,0
3454,1
7501,0
5887,1
1881,0
1040,0
2669,0
8025,0
6444,0
2870,0
1228,1
6580,0
7885,0
4643,1
534,1
2080,1
6684,0
2061,1
807,1
2782,0
3827,0
7186,0
247,1
2166,0
2806,0
4028,1
5300,1
84,0
7258,0
7145,0
5383,0
1092,0
2795,0
6321,0
3979,0
7941,0
3960,0
7684,0
3737,0
4347,1
3085,1
530,1
7291,0
2284,0
1790,1
2120,0
6485,0
933,0
7212,0
5420,0
5912,0
7783,0
6327,0
347,1
209,1
4578,0
7061,0
986,0
5371,0
3205,1
2380,0
3788,0
3368,0
7323,0
7378,0
4092,0
1525,0
2850,0
4214,1
6850,0
7167,0
5874,0
4657,0
7821,0
2897,0
5548,0
7076,0
1478,1
4957,0
421,1
6898,0
2660,0
432,1
8116,0
3093,1
5623,0
3286,0
6058,0
5589,0
3921,1
7699,0
3582,0
6146,0
5506,1
1302,0
2573,0
5215,0
3585,0
4646,0
3815,0
455,0
7717,0
50,1
6542,0
4334,1
7384,0
5616,1
6947,0
5804,0
4070,0
5291,0
5341,0
6590,0
958,0
4077,0
2862,0
3918,1
1765,1
1481,0
5929,0
4757,0
5113,0
7672,0
2100,0
477,1
7870,0
2373,0
1741,0
6109,0
282,0
3258,1
3430,0
3210,0
5991,0
2917,0
4611,0
641,1
1063,0
6881,0
5697,0
1758,0
5439,0
5491,0
1818,0
3443,1
5720,0
2746,0
2948,0
1761,0
819,0
8069,0
1427,0
1422,0
6734,0
2818,0
6042,0
2223,0
5431,1
7013,0
7381,0
4132,0
2727,0
7003,0
4668,0
135,1
722,0
6469,0
401,1
718,1
5701,0
2132,0
4030,0
7483,0
2020,0
5864,0
7187,0
739,0
6594,0
1212,1
423,1
62,0
690,1
3662,0
8107,0
7010,0
2149,1
6695,0
3913,1
3893,0
79,1
2389,0
7638,0
5075,1
2606,0
7200,0
7953,0
5974,1
7152,0
1742,1
1563,0
1568,0
3853,0
3440,0
7988,0
1830,0
5267,0
3687,1
7007,0
1304,1
2025,0
7636,0
6453,0
616,0
5140,0
3259,1
4422,1
4256,1
1442,0
7185,0
1665,1
817,1
6903,0
4819,0
1699,0
5182,0
5983,0
2810,0
6664,0
5948,0
4980,1
6403,0
7715,0
2261,0
7204,0
3337,1
4524,0
967,0
3950,1
3059,0
4803,1
6776,0
6213,0
760,0
1878,0
5639,0
7498,0
2586,0
6868,0
2759,0
15,0
583,1
2459,0
734,0
5787,0
1157,0
4242,0
2464,0
2761,0
6552,0
5935,0
5644,0
4592,1
934,0
7522,0
7577,0
3828,0
543,1
6604,0
654,0
6095,0
7461,0
571,0
2431,0
4480,0
977,0
3697,1
430,1
6248,0
2361,0
6446,0
5127,0
1365,0
3002,0
1152,1
6111,0
331,1
4959,0
2825,0
1335,0
2890,0
6472,0
7842,0
514,0
3717,0
587,0
5283,0
618,1
6273,0
1249,1
394,1
4664,1
801,1
5976,0
7889,0
2360,0
4411,0
6500,0
236,0
3575,0
5288,0
3446,1
4123,1
7136,0
4486,0
2815,0
7039,0
1441,0
1391,0
5466,0
3502,0
475,0
5363,0
2922,0
4832,0
6347,0
8003,0
1592,0
2773,0
5294,0
7454,0
2953,0
6620,0
7667,0
7126,0
25,1
1290,0
4838,0
5470,1
4538,0
6693,0
6441,0
5328,0
1264,0
3290,0
1766,0
2719,0
5449,1
7920,0
5219,0
5253,0
5114,1
6618,0
607,1
205,0
6068,0
7176,0
2018,0
7546,0
4065,0
2048,0
779,0
1432,1
1190,0
5642,0
2802,0
4079,1
1099,1
5184,1
1340,0
1783,1
1236,1
3009,0
3175,0
8020,0
5550,0
7459,0
2549,0
6702,0
4035,0
7397,0
8064,0
4299,1
437,1
3000,0
47,0
7652,0
6473,0
5251,1
