id,meatballs_count,assembly_skill_level,shopper_weight_kg,chair_model_max_load_kg,fatigue_factor,soda_ml,backpack_weight_kg,time_spent_minutes,previous_chairs_broken,posture_risk_index,stress_level,broke_chair
1393,1,4,86.93318733515937,120,0.33399029888216186,259.7595242012484,1.2305046279154208,50.09854483232427,0,0.6679805977643237,8,0
1818,3,1,87.25973440927291,100,0.21197407500072743,47.24000154626046,5.741867858340957,50.87377800017458,0,0.42394815000145486,5,0
586,8,6,62.35077920856047,100,0.28700395465227185,385.16544543993047,0.9290567149003275,57.40079093045438,0,0.5740079093045437,6,0
877,5,4,76.68549023320469,100,1.4447753555877225,636.7772427118215,4.958662020170085,108.35815166907918,1,1.4447753555877225,8,1
2381,4,5,91.85510872677055,120,0.15802299515114188,421.37376128986625,1.9985484586948887,23.70344927267128,0,0.31604599030228375,8,0
2470,4,2,73.08460579128743,100,0.05023068740955028,646.7725834892472,3.1085657883095736,60.27682489146033,0,0.10046137481910056,1,0
1199,3,7,64.12578423743544,80,0.05914558215101824,435.1253278819479,4.954873607959344,35.48734929061094,0,0.11829116430203648,2,0
929,3,1,81.13569931935251,80,0.31333102518970624,370.46595961498485,1.7333778437784146,75.1994460455295,0,0.6266620503794125,5,1
2783,7,10,95.98966444614702,120,0.7730872818989403,473.5992433160736,2.446599991906089,115.96309228484104,0,1.5461745637978805,8,0
1429,0,4,91.18248359787474,120,0.14805460544983956,225.5632689726251,0.0,29.61092108996791,0,0.2961092108996791,6,1
1215,1,10,59.329860847282006,140,0.19155390478721,0.0,8.139496989263165,45.9729371489304,0,0.38310780957442,5,0
408,4,1,50.10409443418766,80,0.33933421829054344,0.0,5.480295964551086,29.08579013918944,1,0.33933421829054344,7,0
2872,3,8,63.89576406293649,120,0.2501166925256058,290.9277190498825,4.532563676551153,25.01166925256058,2,0.16674446168373722,4,0
854,1,9,84.17863871767709,100,0.720155092092171,532.6150174470581,4.274579317716584,96.02067894562279,0,1.440310184184342,9,0
1864,8,1,84.34828213877601,120,0.19615012605723015,265.1961966279655,1.388878977126756,117.69007563433809,0,0.3923002521144603,2,0
2407,6,2,74.68118679122963,100,0.6284666460077164,428.37682587190477,4.092257645604713,41.89777640051443,1,0.6284666460077164,9,0
1267,3,4,89.93122301872629,120,0.7365937480481896,211.193867275547,5.027941597584411,73.65937480481897,1,0.7365937480481896,6,0
1055,1,7,102.080218497352,80,0.06698385218598134,184.90714903362957,5.127190892837071,80.38062262317762,0,0.13396770437196268,1,1
2879,5,9,85.94612753310602,100,0.3333095991946778,0.0,7.474668006387871,57.138788433373335,0,0.6666191983893556,7,0
1343,4,1,72.09926912080688,120,0.6439770388715822,905.5464867416956,2.5455988014932887,77.27724466458986,0,1.2879540777431644,10,0
1476,4,5,111.43998125338159,140,0.4543488876900309,64.11873977275212,4.773087163829667,60.57985169200411,0,0.9086977753800618,9,0
263,3,3,71.67009171771475,100,0.4336936642418648,111.9493180763802,8.83573143240247,104.08647941804755,0,0.8673873284837296,5,0
2753,5,4,81.70812791213018,100,0.2215441575910859,526.8750237301629,7.445485895741053,53.17059782186062,0,0.4430883151821718,5,0
2062,2,5,84.0929377703866,120,0.8560047107384218,409.22086401255035,1.070844376701225,114.13396143178957,0,1.7120094214768435,9,0
4,5,1,50.734472170192454,100,0.04499616184786868,612.4421738141978,3.2039196750572363,53.99539421744241,0,0.08999232369573736,1,0
2583,4,6,85.09712861735646,120,0.6165930435814657,379.3639837179973,0.8354729970442807,92.48895653721985,0,1.2331860871629314,8,0
715,3,5,61.761636138438035,100,0.8447743453842057,257.6477652359134,1.4179508705064237,112.63657938456075,0,1.6895486907684114,9,0
706,4,3,66.34137674117827,100,0.17411133921023897,1052.4425333548402,3.4642840963184387,52.23340176307169,1,0.17411133921023897,2,0
626,2,5,73.82542516675686,100,0.5793467556845185,807.8204307608821,4.13892989438242,86.90201335267777,1,0.5793467556845185,4,0
482,3,5,81.37280267259813,120,0.5219147600704594,756.3937215456615,6.924255445259744,62.62977120845514,0,1.043829520140919,10,0
431,4,1,87.12045632694803,100,0.578892032847776,222.28777384172753,8.210411154302513,33.07954473415863,2,0.3859280218985173,7,1
486,6,2,68.3077640491187,100,0.18985840157835246,124.1246093872206,6.198725672312603,32.547154556288994,0,0.3797168031567049,7,0
1531,5,8,84.64087355235418,100,0.5703804005772043,263.31848956196546,4.870399981266266,57.03804005772044,1,0.5703804005772043,6,1
1908,4,1,72.95245237251909,120,0.6538683480080896,610.480979337284,2.4610157524097698,78.46420176097075,0,1.3077366960161791,10,0
2906,1,9,97.13883834185172,140,0.21577857748291882,587.5740267739227,4.157836227734142,43.15571549658377,0,0.43155715496583763,6,0
827,4,2,78.23583716862319,140,0.28696186926072575,432.472004139766,4.693029931766541,43.04428038910886,1,0.28696186926072575,4,0
38,5,5,67.6327817646314,120,0.5939689422217179,307.4169520652537,1.4954465416854945,71.27627306660615,0,1.1879378844434358,10,0
