id,is_dangerous
2839,0
6866,0
7021,1
3305,0
3806,1
5678,1
6865,1
2678,0
4796,1
3765,1
4049,1
1530,1
7509,0
2510,0
581,1
5274,0
5933,0
3727,0
1937,0
643,1
848,1
3704,1
2880,0
2187,0
1464,1
3404,0
7093,0
6376,0
2683,1
759,1
6188,1
4696,0
3150,0
4571,1
7082,0
674,1
3175,0
7627,0
7189,0
3878,1
4238,1
216,1
272,1
6846,0
52,1
7961,0
2664,0
8068,0
4449,1
7337,0
5738,0
7263,0
7334,0
3536,1
5315,1
5538,0
2025,0
4661,1
6366,0
6281,1
4524,1
6233,1
117,1
2620,0
409,1
8081,0
5806,1
3363,1
792,1
1643,0
184,1
320,1
7878,0
7817,0
1593,0
4710,1
5854,0
3313,1
2712,0
5403,1
4815,0
1184,1
5849,0
7119,0
865,1
2109,0
1931,1
4927,1
3524,0
770,1
2321,1
4626,1
5484,1
2627,1
2196,0
6660,0
682,1
3640,0
5626,1
6655,1
3152,1
7271,0
7009,0
5441,0
6912,0
155,1
3638,0
4438,1
5439,0
6173,0
1622,0
4602,1
7264,1
5470,1
6326,0
7703,0
7989,0
6353,0
3468,1
7290,0
7243,0
3157,0
3387,0
3233,1
7563,0
676,1
7593,0
5752,0
6934,1
6312,0
365,1
1555,1
5948,1
3863,1
6970,0
4301,1
4102,1
7505,0
7206,1
6569,0
3978,1
262,1
3901,1
6766,1
6102,0
6346,1
8104,0
636,1
1556,0
1799,0
937,0
3276,1
5296,1
6053,1
351,1
1006,0
1803,0
1369,1
7407,0
5798,1
1255,0
1101,0
8019,0
6556,1
5261,1
2597,0
4846,0
7207,1
38,1
7783,0
617,1
7325,0
4865,1
340,0
7943,1
7829,0
5077,1
3661,1
7765,0
7482,1
646,1
2217,0
3950,1
2891,0
6657,0
1141,0
2459,0
7083,1
2902,1
5822,1
5461,0
705,1
241,1
4468,1
6696,0
3272,0
6650,1
3914,0
6020,0
3425,1
3653,1
3607,1
6917,0
254,1
4216,1
112,1
4604,1
2067,1
3818,1
2086,0
3364,0
3956,1
1693,0
1977,0
1192,0
4660,1
5473,0
2305,0
1695,0
7120,1
7346,0
1676,1
1691,0
521,1
4323,1
7587,0
131,1
2121,0
4125,1
6728,1
3696,0
895,1
6601,0
1617,0
1846,0
4624,1
6541,1
5762,1
2045,1
4270,1
6028,1
3330,0
6996,0
3140,0
5346,0
2910,0
1330,0
230,0
4610,0
4749,1
1756,1
6677,0
3626,0
7074,1
4341,1
632,0
3513,1
6295,0
3061,1
1461,0
6228,0
5133,0
6285,0
1287,0
5736,1
3723,1
3748,0
1835,0
3065,0
3390,1
2375,0
153,0
6725,0
284,1
4691,1
1970,0
962,0
950,1
6672,0
980,0
5971,1
1476,1
2040,1
95,1
3900,1
4830,1
2596,1
1348,1
6341,0
5193,0
3961,1
1922,0
7089,0
1323,1
5560,1
210,1
8061,0
5611,1
5949,1
7136,0
5710,1
5323,1
2230,0
3746,1
2503,0
1722,0
1910,0
6047,0
7256,1
3301,1
2655,0
518,1
173,1
6513,0
6599,0
1496,0
1092,0
2293,0
2509,0
3921,1
1588,1
1114,1
2965,0
3274,1
2578,1
3999,1
5642,1
170,0
5137,0
5719,1
5469,1
3850,0
1557,1
2842,0
7419,0
789,1
1930,1
5386,0
4682,1
5758,1
5057,1
4207,1
3165,1
5674,0
3308,0
4024,1
5112,1
6211,1
4946,0
1035,0
6526,1
6870,0
2982,0
2994,0
7423,1
7827,0
4921,1
5720,0
2491,0
4003,1
6336,1
6685,0
744,1
2801,1
6732,0
1215,1
283,1
3484,1
7283,0
1706,0
7839,0
7112,1
1056,1
2855,1
4181,1
5250,1
7353,0
1531,0
1624,0
7363,1
2519,0
223,1
2299,0
5721,1
833,1
5972,0
6686,1
7978,1
7549,1
1590,0
7316,0
3092,1
5290,1
3248,1
5167,1
5917,0
2017,1
2860,1
6759,1
2728,1
449,0
4202,1
686,0
5779,0
4155,0
298,1
6695,0
764,1
4327,1
5333,1
3421,1
5591,1
4701,1
1016,1
1349,0
5783,0
6276,1
1265,0
3081,0
4046,1
2524,1
6351,0
354,1
3306,1
5787,0
649,1
4266,1
7438,0
2296,1
7108,1
1635,1
941,1
4650,1
6101,0
8082,1
91,1
7657,0
7809,0
7721,0
63,1
8001,0
6820,0
4413,1
3509,0
6369,1
2143,0
3399,1
3225,0
6778,0
1073,0
7374,0
3453,1
5921,1
1848,0
4494,0
2964,0
5804,0
2756,0
488,1
3785,0
2885,0
4126,1
2725,0
20,1
620,1
1843,1
7090,0
4922,1
1023,1
4154,0
7567,1
7051,0
1328,0
2092,1
6837,0
1193,1
6377,1
4354,1
8107,1
966,1
2203,0
7262,1
1043,0
2613,0
660,1
8078,0
1165,1
6982,0
906,1
3718,1
2371,0
266,0
3348,0
1414,1
843,0
3032,0
2600,0
3058,1
5588,0
4353,1
1096,1
2165,1
6735,1
5452,1
5127,1
7155,1
3647,1
1856,1
1235,0
2599,1
3636,0
3809,0
4569,1
6499,1
6488,0
297,0
2739,1
5003,1
7725,0
1776,0
4197,0
51,1
7814,0
7500,0
1174,0
1673,0
6056,0
4225,1
2513,0
7646,0
755,1
951,1
1894,0
5390,0
7918,0
6915,0
2115,0
6077,0
6595,0
2400,1
4116,1
2397,0
3731,0
6581,0
7760,1
6880,0
7649,0
4475,1
991,1
7260,0
6362,0
5443,0
1866,0
31,1
6651,0
7330,0
5772,1
6717,1
2085,0
968,1
3630,1
7042,0
562,1
4244,1
1936,1
4019,0
2830,0
5576,1
10,1
2490,0
4619,1
5833,0
2349,0
5756,1
6086,1
795,1
1569,0
7964,0
7410,1
3354,0
3771,0
393,0
7254,0
5228,1
1120,0
7276,0
971,0
8010,0
8014,0
4723,1
7221,0
1377,0
5709,0
404,1
6524,1
1618,0
4778,1
1507,0
2890,0
4228,1
2125,0
5984,0
3371,1
7619,1
5617,0
90,0
6140,1
4278,1
5528,0
2171,0
6284,1
2234,0
5414,1
1902,0
374,1
6172,0
8069,1
6039,1
3508,1
3968,1
2049,0
1665,1
1176,1
372,1
5754,0
6958,0
2985,0
2684,0
5282,1
3695,0
2636,0
3824,0
6454,0
104,1
4227,1
6093,0
6006,0
7018,0
5165,1
4870,1
4081,1
7748,0
2232,0
641,1
6487,0
626,1
6909,1
7867,0
5402,0
7467,0
3026,1
6297,0
7079,0
5900,0
7837,1
293,0
6195,0
5776,0
5537,0
4222,1
7536,1
3289,0
6519,1
2912,0
5180,1
3884,0
629,0
7141,0
7437,0
5327,1
6606,0
7365,0
2317,0
3514,0
94,0
3947,1
1206,0
190,1
1130,1
4515,1
1137,1
1013,0
5109,0
1901,1
3909,1
5924,1
6079,0
1150,0
6384,1
4455,1
2844,0
302,1
2194,0
4243,1
7185,0
7046,0
