id,bun_size,nearby_pigeons_count,time_of_day,feeding_spot_popularity,distance_to_pigeons_m,is_raining,crumbs_on_ground,crowd_density,human_distance_m,noise_level,will_eat_bun
2099,2.1173971424058213,5,11,5.183150445884145,7.7809179865489035,0,5.472407444552637,5,1.0740039276445486,10,0
1332,1.850617441632608,5,17,4.5950998407354,3.6443485494226207,1,2.290217341848823,2,3.159703018406576,1,1
569,1.5751894349944418,1,9,1.810567151712772,2.309359070044863,0,3.7190266223764987,1,3.762945820535622,1,0
599,0.7900151761431486,8,12,8.54830842310124,5.182641457704968,1,5.9839866614972195,10,1.9486322109982595,5,0
1050,1.003297788448643,4,19,4.046106127281992,2.5146422905976937,0,3.4138283969649157,0,2.363298613860578,10,1
47,1.5894382195098729,11,18,1.3282157250956588,8.041279397551664,0,4.557967239850225,8,2.2525728501032436,6,0
1455,1.4543160432888653,5,19,3.838156890791694,0.5,0,4.71111305634439,6,0.2,8,1
2180,2.348457361053467,8,10,7.563297622302835,7.228227846048975,0,4.475182737033406,3,3.042944922262596,10,1
364,1.449996387872169,10,13,8.116592911329235,1.827852834775042,1,2.1121980890595466,6,2.0598934763794694,6,1
1321,1.2756983343649018,5,15,6.323712416048805,6.463958806530044,0,3.7750143153169855,1,3.4126981141600155,6,0
1276,1.260100220352454,9,12,10.0,2.1871378814456737,0,3.76147880429252,0,1.0900563601948958,2,1
1785,1.9851534766892622,6,10,0.0,7.384630312235625,0,4.571043401824207,2,1.7238519412316398,6,0
1707,1.6039231427222038,2,10,5.911205869045526,5.775412513567827,1,2.0665408831642225,5,3.131400925975388,2,0
1166,2.4829696368303567,8,16,3.641358540370417,4.019104572513693,0,2.572591523390712,1,3.350318063587542,5,1
1884,0.6968427796781318,7,17,4.677790624001523,5.444548294356005,1,7.276473023549801,1,2.4321184212180276,6,0
645,1.4431987142369915,7,9,6.212724226983054,4.74465112012061,0,4.095666489283419,3,1.5703116585812849,3,1
