id,sleep_hours,sensor_noise_7,sensor_noise_0,walking_minutes,sensor_noise_1,sensor_noise_3,fatigue_score,meetings_count,sensor_noise_5,sleep_interruptions,sensor_noise_6,time_with_friends,sensor_noise_4,stairs_climbed,messages_sent,steps_daily,sensor_noise_2,persona_class
990,0.7043821421171154,-0.24179022617613036,0.16303317476800286,0.834072313411669,-0.5435225760948096,-1.6602306146947008,0.8352145893248498,-1.5128273925557454,0.26066205987332464,0.9939535823923014,1.3151355930152804,-1.7923233530519502,-1.4307171397998188,0.9036043569024554,-1.5898744330469983,0.5184936644151514,1.342942043361723,0
1951,2.7684938911798564,0.970461195253394,-0.4536822949281935,-0.003958504761963133,0.567917243554962,-0.20815442374982535,2.6536540407521567,0.4166079548523628,1.3886288002115532,2.5007220801301107,1.6637069258801755,0.5326596604254069,1.1232404917592171,0.2431956636293998,0.3914433040923579,0.4875316988244312,-0.0034356278524263926,1
754,0.3107870102759819,1.8980522355329246,-0.11376481829694274,2.3414728314633786,-0.07348727297268369,0.44739369550005736,1.027311271450372,1.228416938279214,-0.27289793586228883,0.5639348166866558,-0.24480421634595914,1.7422268835615797,1.8641624376481394,1.714700101544416,1.668945940070335,1.8397658365293923,0.15071316752482067,0
637,0.057293873380435886,-0.7310042461488293,-0.8636196913474898,-0.8433026489434625,-1.6230063534626042,2.84968068493783,-0.11316941255428536,-1.0765957471373282,1.0744990285793043,0.11638107425241387,-1.46237797554516,-1.3685198305514055,-0.20845098654739871,-0.815280989862539,-1.0539715207099474,-1.146691235622534,1.423412430276806,1
1079,0.8715662637688043,-0.8336625518522882,-1.003313584835347,1.5723447988599273,0.12468621979131778,-0.1769114225816663,1.0545958733530654,-1.0265365604105563,-1.0814590702112945,0.8654392049900806,1.443098933195181,-0.5672410761341271,-1.0857452811284627,1.0162568646027903,-0.8988634280717452,1.3460800936674044,-1.4783611084744996,0
1308,-0.3789705376823109,0.43072310203712344,-0.45372978326480484,-2.9947081106283147,-0.029474363926308835,-0.016660476090602703,-1.231337833844894,1.5197799665974174,0.376448591917038,-1.0684449570835883,-0.10922616652078825,1.4392368801412385,-0.44839465826569697,-2.50244654237459,1.3949487087170533,-2.7246151538191383,-0.5116604011541551,2
504,1.865849710835692,-0.8236007289743827,1.372199801115334,-3.4077867805564686,-0.9726400090720136,0.4045760482252575,2.2888484421134785,-0.508034143218834,-0.41663839555413007,0.9206696514936642,0.5357251745204445,-0.7505432637629641,-0.7221760962922216,-3.0715480622425853,-1.3116912016005873,-3.1156378870023698,-0.03151779431405949,1
1903,-0.6425776928444191,1.55758504430475,-0.8560589949306505,-0.003566412051169393,0.5481351272544526,-1.8557635806144948,-0.06306532568463499,0.28233427625001906,1.6869375044595738,-0.06064554976426159,-0.3621409542903751,0.3295669491155746,1.3230168640908428,-0.0036557035587704567,0.12989498654094972,-0.22371145303448872,-1.508060709637813,2
1621,-0.5427613624808696,0.27484957949465905,0.6486250001408866,0.17278052944841216,-0.06057320307685002,0.20911508912272142,-1.044098445129947,0.3431011271859511,-0.3712092125640576,-0.9126924984536997,2.243737498763577,0.3809238229745853,-1.0604172016282292,0.15753695347429547,0.4848470204415656,0.061643512656577415,-0.07206016506412331,2
1982,-0.278422208371079,-0.06066070913817652,0.4160050476537533,-0.2313019925633014,-0.40110497736566353,-1.0729259346949942,-0.5250256294710073,0.043734086598568395,-0.4556683615262158,-0.1400601905066187,1.2557191335756837,-0.06947412775464445,-0.11914973407098493,-0.17871891204676105,-0.27104910876174887,0.04798176974985129,1.483409223031859,0
