id,fat_content_pct,sausage_diameter_cm,has_metal_item,poke_holes,heating_time_sec,sausage_length_cm,microwave_power_w,plate_type,water_content_pct,will_explode
796,27.698257413171333,2.6768888248146396,0,0,58.050817489731116,11.991402771799848,1000,1,30.044200609055917,1
2281,17.304525454567827,2.9909164586568773,0,0,24.506961263255228,10.026711183087345,800,0,51.38235685553872,0
1532,21.010745907027996,2.734903064697936,0,1,54.09810688195425,11.962959498616232,800,1,38.631384232788506,0
1885,22.387106767712414,2.347826895607195,0,0,75.9472997839896,10.533472335953283,1000,0,51.211557429532945,1
2021,24.33070167414702,2.6273436906298935,0,1,51.546818589856215,8.420027292264795,1000,0,56.30369697059989,0
2248,28.35050565263249,2.0797344403067406,1,1,82.8908027861579,9.890591126301457,1200,1,52.721009335700245,1
159,23.856716027292066,2.6799261306226136,0,0,59.10342231339587,7.630112467165951,1200,0,61.21637277189505,0
290,38.08183221205741,3.091836149460374,0,1,92.36591779114767,9.496045243586229,1000,1,58.477662950163186,0
2035,28.925196800436936,2.6465347875736245,0,0,73.0731349117128,11.473673061840103,1000,2,56.85629660544562,1
1677,33.02769122145031,2.634649482650937,0,1,69.5489920824921,10.729050075985604,900,0,69.84847905053363,0
299,32.59035904843611,2.242575550019741,0,0,90.13537184237121,10.655990967428218,800,0,57.13433476635735,1
417,25.860472324651248,3.232381715502626,0,1,102.36419624860395,12.655372264535384,800,1,41.22909962921851,0
2498,23.863199860659936,2.5198962661778395,0,0,69.2955772420105,8.903854133510354,1000,2,45.18944928562182,0
1393,18.27106809830334,2.0774614145986168,0,0,24.35451845185517,10.92442497802125,700,1,55.65747481654205,0
1613,11.073931026932499,2.718848922175736,0,1,68.3864141705176,10.157197412230074,600,0,49.06721594778882,0
1550,16.22334038628407,2.8557653826098104,0,1,85.675239963974,6.865883499529124,800,0,43.99850066313384,0
792,32.0515882702553,2.302100627789715,0,1,32.87627628138341,11.022443629095068,800,0,54.02211118953925,0
1647,28.744244782620157,3.2977713978724292,0,1,54.33791368687757,12.339076294587768,1000,1,41.806225293930154,0
708,22.98402176300612,2.90835312840099,0,1,79.59858219394376,9.556927768538399,1000,0,56.300727847320466,0
