id,cat_fullness,vacuum_noise_db,cat_mood,vacuum_distance_m,cat_was_sleeping,other_cat_present,people_in_room,turbo_mode,cat_run
291,0.0,66.83075014522963,4.0733179426810135,3.4160162695803225,1,1,1,0,1
2575,3.6725884093999888,69.5752566809717,7.822650547975939,2.876112807382259,0,1,1,1,1
2504,5.400706743674386,79.61270224941364,7.969173274035738,3.111249264909033,1,0,1,0,0
2968,8.340228025601514,89.37680197734204,10.0,3.1815569094953613,0,0,0,0,1
1652,3.2337025160684814,71.43556363017072,3.8926003353852723,3.640260720032138,0,1,1,1,1
2336,8.184989519243272,95.0,7.68416734447184,4.193581621320824,1,0,1,0,0
2172,9.273140489663973,61.404163231335616,7.557714333789626,2.352060936519125,1,0,1,1,0
812,4.638419916626843,68.0346177796388,1.9120296536738444,2.2097202060192345,1,1,1,0,1
951,2.411598178470802,70.42122321129182,2.092547870902294,6.57579155697281,1,1,3,0,0
751,0.24583094536123618,61.408823553376926,1.732574988038869,2.0522764663758286,1,0,1,1,1
652,3.1541506617069763,85.01465133343424,8.679631821637182,4.279848994303614,0,0,2,0,1
1516,10.0,56.421481257229885,5.953100101440924,4.2136762325784005,1,1,1,1,0
2220,4.272127482405956,66.11215335234805,1.9897699957785928,4.38846693209114,1,1,1,1,1
586,0.20822593188301664,50.880623366848376,4.561955399668043,1.4645283574501637,1,0,1,0,0
1938,2.8721354275460174,56.87270979188867,5.46097126262651,4.0495099130292935,0,0,2,0,0
19,4.431791996580512,64.40088906816497,8.156547579497305,0.2,0,0,2,1,1
485,5.53573128334464,62.95510902602955,7.155881151677647,4.622062190905719,1,0,1,0,0
1460,5.110175084793452,76.55552687899338,7.342606333401714,3.5725358017194204,1,0,1,1,1
2247,1.7957106750246838,56.064519722737245,3.8185099244658405,4.581800544813123,0,1,2,0,0
1953,0.0,57.15244239635694,1.7244696091957756,0.2670626556478797,1,0,1,0,1
2796,6.119457420357236,71.72395013878709,4.513854063006713,6.408988486339997,0,1,2,0,0
2924,5.967867288547774,56.885039631636616,6.30241115175681,1.1107931934359119,0,1,2,0,0
1832,6.481115701120591,51.5920687753847,6.873628058210352,1.3687468203578246,0,0,2,1,1
2908,0.19293419917650567,50.61059448625724,3.950967100350714,4.074946599709733,1,0,1,1,1
1385,4.00098082792473,66.13019669878774,7.0043797750142165,2.4293508585269823,0,1,1,0,1
