id,meatballs_count,assembly_skill_level,shopper_weight_kg,chair_model_max_load_kg,seat_pressure_index,soda_ml,backpack_weight_kg,time_spent_minutes,previous_chairs_broken,stress_level,broke_chair
1393,1,4,86.93318733515937,120,0.7274480188847348,259.7595242012484,1.2305046279154208,50.09854483232427,0,8,0
1818,3,1,87.25973440927291,100,0.9256616424409546,47.24000154626046,5.741867858340957,50.87377800017458,0,5,0
586,8,6,62.35077920856047,100,0.6831032809364223,385.16544543993047,0.9290567149003275,57.40079093045438,0,6,0
877,5,4,76.68549023320469,100,0.883738934307661,636.7772427118215,4.958662020170085,108.35815166907918,1,8,0
2381,4,5,91.85510872677055,120,0.8579445406344375,421.37376128986625,1.9985484586948887,23.70344927267128,0,8,0
2470,4,2,73.08460579128743,100,0.8791877511693179,646.7725834892472,3.1085657883095736,60.27682489146033,0,1,0
1199,3,7,64.12578423743544,80,0.8959619009808263,435.1253278819479,4.954873607959344,35.48734929061094,0,2,0
929,3,1,81.13569931935251,80,1.1926664996850491,370.46595961498485,1.7333778437784146,75.1994460455295,0,5,1
2783,7,10,95.98966444614702,120,0.8184409213375764,473.5992433160736,2.446599991906089,115.96309228484104,0,8,0
1429,0,4,91.18248359787474,120,0.9915185926714903,225.5632689726251,0.0,29.61092108996791,0,6,1
1215,1,10,59.329860847282006,140,0.4968592177119756,0.0,8.139496989263165,45.9729371489304,0,5,0
408,4,1,50.10409443418766,80,0.6893359142051875,0.0,5.480295964551086,29.08579013918944,1,7,0
2872,3,8,63.89576406293649,120,0.49384084536582346,290.9277190498825,4.532563676551153,25.01166925256058,2,4,0
854,1,9,84.17863871767709,100,0.8968415031279104,532.6150174470581,4.274579317716584,96.02067894562279,0,9,0
1864,8,1,84.34828213877601,120,0.8065869673978892,265.1961966279655,1.388878977126756,117.69007563433809,0,2,0
2407,6,2,74.68118679122963,100,0.6951257162074287,428.37682587190477,4.092257645604713,41.89777640051443,1,9,0
1267,3,4,89.93122301872629,120,0.8789622958417788,211.193867275547,5.027941597584411,73.65937480481897,1,6,0
1055,1,7,102.080218497352,80,1.3165482224971357,184.90714903362957,5.127190892837071,80.38062262317762,0,1,1
2879,5,9,85.94612753310602,100,0.9166302357956377,0.0,7.474668006387871,57.138788433373335,0,7,0
1343,4,1,72.09926912080688,120,0.5906921942683925,905.5464867416956,2.5455988014932887,77.27724466458986,0,10,0
1476,4,5,111.43998125338159,140,0.8219778358341308,64.11873977275212,4.773087163829667,60.57985169200411,0,9,0
263,3,3,71.67009171771475,100,0.8533897687620347,111.9493180763802,8.83573143240247,104.08647941804755,0,5,0
2753,5,4,81.70812791213018,100,0.9589303013519559,526.8750237301629,7.445485895741053,53.17059782186062,0,5,0
2062,2,5,84.0929377703866,120,0.84360518514469,409.22086401255035,1.070844376701225,114.13396143178957,0,9,0
4,5,1,50.734472170192454,100,0.43958253313882123,612.4421738141978,3.2039196750572363,53.99539421744241,0,1,0
2583,4,6,85.09712861735646,120,0.8073743260578543,379.3639837179973,0.8354729970442807,92.48895653721985,0,8,0
715,3,5,61.761636138438035,100,0.630557616536354,257.6477652359134,1.4179508705064237,112.63657938456075,0,9,0
706,4,3,66.34137674117827,100,0.6586383230653369,1052.4425333548402,3.4642840963184387,52.23340176307169,1,2,0
626,2,5,73.82542516675686,100,0.7672727721157748,807.8204307608821,4.13892989438242,86.90201335267777,1,4,0
